arm,bacc,bacc_sem,count
B6,0.6207052425319667,0.003782293666493736,8
A5,0.6233634535195767,0.007218373561635404,10
A4,0.6283244126179583,0.0037673078425133305,10
A6,0.6349738010653212,0.004595843722339499,10
A2,0.6485819127005117,0.004826252874856217,10
A3,0.6485819127005117,0.004826252874856217,10
B4,0.6516947199901907,0.004744511756989008,10
B1,0.6553924527777518,0.005988801428074964,10
B3,0.6580504057979104,0.0032407152205624437,10
A7,0.6585483548485087,0.00529035625628694,10
A1,0.6662623924655593,0.004045296461760364,10
B2,0.668616047066411,0.007053642253125544,10
