arm,brier,brier_sem,count
B6,0.6029140810218441,0.002909035239780014,8
A6,0.5524542679476291,0.0029379854839036426,10
A5,0.5502647068248975,0.0025982097674157596,10
A4,0.5424623254987079,0.001982875996364481,10
A2,0.5396817141960547,0.0031278622240964887,10
A3,0.5396817141960547,0.0031278622240964887,10
B4,0.5335507915562276,0.009721126784609973,10
B3,0.5271815554770016,0.008065545700428592,10
B2,0.5168762747636467,0.002425847651193436,10
A7,0.5151723738264713,0.005548295684115022,10
B1,0.5133661353648528,0.00258232991929352,10
A1,0.4859303706403505,0.008776414046127284,10
