arm,f1_macro,f1_macro_sem,count
A4,0.5402923104156723,0.005941626597903084,10
A5,0.5409010621707475,0.01439211512557573,10
A6,0.5723327589198329,0.006940777307369274,10
A2,0.5952310080260216,0.006130386046557839,10
A3,0.5952310080260216,0.006130386046557839,10
B6,0.5953977447725284,0.0038174599861345096,8
B4,0.6459303525455631,0.003454855543800184,10
B3,0.6507661594931238,0.002905407521700332,10
B1,0.6526627130371973,0.005198200549106163,10
A1,0.662017185823886,0.004170025818393023,10
A7,0.663541969513606,0.003240754506239163,10
B2,0.6639673817056979,0.0052573739438726026,10
