arm,aurc,aurc_sem,count
A5,0.26748562206345433,0.004849811690866468,10
A6,0.2602307277037981,0.006359932876439553,10
A4,0.2568819286045387,0.0037539982561409155,10
A2,0.2416865990049543,0.0035882436005903132,10
A3,0.2416865990049543,0.0035882436005903132,10
B6,0.23798474528101937,0.0021580221492582944,8
B4,0.2170896146458665,0.003963632438620176,10
B1,0.21683748028935956,0.002529772537927855,10
A7,0.2164113087538984,0.0024267403391763985,10
B3,0.21490012332756508,0.0034843452365436738,10
B2,0.20262419411137195,0.0014985962217795537,10
A1,0.19107846977311968,0.004333335051754345,10
